mass_A
t	x
2.534198333E1	4.456590679E1
2.535866667E1	5.166608469E1
2.537535000E1	5.230556435E1
2.539203333E1	4.681667829E1
2.540871667E1	3.558034151E1
2.542540000E1	1.992787320E1
2.544208333E1	1.640828113E0
2.545876667E1	-1.704683652E1
2.547545000E1	-3.386800895E1
2.549213333E1	-4.733442283E1
2.550881667E1	-5.574285723E1
2.552550000E1	-5.814543937E1
2.554218333E1	-5.414904851E1
2.555886667E1	-4.491715560E1
2.557555000E1	-3.097725269E1
2.559223333E1	-1.373390982E1
2.560891667E1	5.222834900E0
2.562560000E1	2.282264623E1
2.564228333E1	3.736867504E1
2.565896667E1	4.773175053E1
2.567565000E1	5.260046715E1
2.569233333E1	5.084365435E1
2.570901667E1	4.270787641E1
2.572570000E1	2.933236085E1
2.574238333E1	1.264184059E1
2.575906667E1	-5.734910340E0
2.577575000E1	-2.395136120E1
2.579243333E1	-3.982013353E1
2.580911667E1	-5.091584410E1
2.582580000E1	-5.686882971E1
2.584248333E1	-5.693093353E1
2.585916667E1	-5.101803979E1
2.587585000E1	-3.918738625E1
2.589253333E1	-2.380782568E1
2.590921667E1	-6.007943420E0
2.592590000E1	1.230197722E1
2.594258333E1	2.897617062E1
2.595926667E1	4.217544366E1
2.597595000E1	5.000550875E1
2.599263333E1	5.186836639E1
2.600931667E1	4.731606316E1
2.602600000E1	3.708252087E1
2.604268333E1	2.210365090E1
2.605936667E1	4.294428682E0
2.607605000E1	-1.412188696E1
2.609273333E1	-3.109645871E1
2.610941667E1	-4.532284775E1
2.612610000E1	-5.427507366E1
2.614278333E1	-5.754321335E1
2.615946667E1	-5.494029229E1
2.617615000E1	-4.688182262E1
2.619283333E1	-3.389813733E1
2.620951667E1	-1.707622046E1
2.622620000E1	1.473475075E0
2.624288333E1	1.900148070E1
2.625956667E1	3.426273865E1
2.627625000E1	4.501412951E1
2.629293333E1	5.063155075E1
2.630961667E1	4.987897932E1
2.632630000E1	4.286234316E1
2.634298333E1	3.066370955E1
2.635966667E1	1.480571539E1
2.637635000E1	-3.274695910E0
2.639303333E1	-2.122026071E1
2.640971667E1	-3.706989493E1
2.642640000E1	-4.894076161E1
2.644308333E1	-5.577267487E1
2.645976667E1	-5.691468033E1
2.647645000E1	-5.196163611E1
2.649313333E1	-4.138589801E1
2.650981667E1	-2.647112237E1
2.652650000E1	-8.949045476E0
2.654318333E1	9.195228673E0
2.655986667E1	2.612021051E1
2.657655000E1	3.962672266E1
2.659323333E1	4.833384536E1
2.660991667E1	5.108836598E1
2.662660000E1	4.784754987E1
2.664328333E1	3.856718831E1
2.665996667E1	2.476057309E1
2.667665000E1	7.774934373E0
2.669333333E1	-1.010590019E1
2.671001667E1	-2.714594592E1
2.672670000E1	-4.190910974E1
2.674338333E1	-5.180020244E1
2.676006667E1	-5.602558006E1
2.677675000E1	-5.430734768E1
2.679343333E1	-4.712635235E1
2.681011667E1	-3.480858407E1
2.682680000E1	-1.875770793E1
2.684348333E1	-1.036916277E0
2.686016667E1	1.660950399E1
2.687685000E1	3.220295948E1
2.689353333E1	4.384213572E1
2.691021667E1	5.022636175E1
2.692690000E1	5.022043648E1
2.694358333E1	4.416198481E1
2.696026667E1	3.301028642E1
2.697695000E1	1.782969763E1
2.699363333E1	1.282016422E-1
2.701031667E1	-1.781911309E1
2.702700000E1	-3.386475931E1
2.704368333E1	-4.643472576E1
2.706036667E1	-5.398601237E1
2.707705000E1	-5.599812173E1
2.709373333E1	-5.195970148E1
2.711041667E1	-4.248790282E1
2.712710000E1	-2.845506721E1
2.714378333E1	-1.150410656E1
2.716046667E1	6.193337802E0
2.717715000E1	2.303092530E1
2.719383333E1	3.702139133E1
2.721051667E1	4.631108675E1
2.722720000E1	5.007336235E1
2.724388333E1	4.795353555E1
2.726056667E1	3.981358887E1
2.727725000E1	2.677208074E1
2.729393333E1	1.053128848E1
2.731061667E1	-7.093066340E0
2.732730000E1	-2.417982076E1
2.734398333E1	-3.906012593E1
2.736066667E1	-4.952144479E1
2.737735000E1	-5.494778874E1
2.739403333E1	-5.421104619E1
2.741071667E1	-4.809577843E1
2.742740000E1	-3.690086842E1
2.744408333E1	-2.143647857E1
2.746076667E1	-3.987918294E0
2.747745000E1	1.365100581E1
2.749413333E1	2.974189448E1
2.751081667E1	4.208221225E1
2.752750000E1	4.921925849E1
2.754418333E1	5.025355547E1
2.756086667E1	4.546955302E1
2.757755000E1	3.508515016E1
2.759423333E1	2.065674697E1
2.761091667E1	3.641372301E0
2.762760000E1	-1.393495056E1
2.764428333E1	-3.003815324E1
2.766096667E1	-4.307199846E1
2.767765000E1	-5.138585133E1
2.769433333E1	-5.410998554E1
2.771101667E1	-5.107143387E1
2.772770000E1	-4.277409837E1
2.774438333E1	-2.985836012E1
2.776106667E1	-1.370993578E1
2.777775000E1	3.939436730E0
2.779443333E1	2.078666743E1
2.781111667E1	3.524595730E1
2.782780000E1	4.532087454E1
2.784448333E1	4.991753043E1
2.786116667E1	4.884652002E1
2.787785000E1	4.178040508E1
2.789453333E1	2.973529804E1
2.791121667E1	1.406132225E1
2.792790000E1	-3.146370736E0
