mass_A
t	x
8.958950000E1	4.358419438E1
8.962286667E1	4.833559700E1
8.965623333E1	4.336841977E1
8.968960000E1	3.057770570E1
8.972296667E1	1.657578389E1
8.975633333E1	6.490235042E0
8.978970000E1	5.474006569E0
8.982306667E1	1.343115905E1
8.985643333E1	2.754029183E1
8.988980000E1	4.127916833E1
8.992316667E1	4.832652615E1
8.995653333E1	4.550478749E1
8.998990000E1	3.450381744E1
9.002326667E1	2.043469802E1
9.005663333E1	8.533873256E0
9.009000000E1	4.844979805E0
9.012336667E1	1.048442454E1
9.015673333E1	2.357341140E1
9.019010000E1	3.785119031E1
9.022346667E1	4.670614660E1
9.025683333E1	4.661256551E1
9.029020000E1	3.748499586E1
9.032356667E1	2.356613998E1
9.035693333E1	1.053099718E1
9.039030000E1	4.476767792E0
9.042366667E1	8.402290677E0
9.045703333E1	2.036897509E1
9.049040000E1	3.442622246E1
9.052376667E1	4.520926365E1
9.055713333E1	4.758933200E1
9.059050000E1	4.057888823E1
9.062386667E1	2.729441227E1
9.065723333E1	1.361293296E1
9.069060000E1	5.487099792E0
9.072396667E1	6.568697101E0
9.075733333E1	1.667359414E1
9.079070000E1	3.055507062E1
9.082406667E1	4.247353590E1
9.085743333E1	4.740752262E1
9.089080000E1	4.253352627E1
9.092416667E1	3.068570846E1
9.095753333E1	1.639041110E1
9.099090000E1	6.584506237E0
9.102426667E1	5.385210268E0
9.105763333E1	1.343727163E1
9.109100000E1	2.665190122E1
9.112436667E1	4.029442427E1
9.115773333E1	4.742558374E1
9.119110000E1	4.524174297E1
9.122446667E1	3.445529848E1
9.125783333E1	2.048830479E1
9.129120000E1	8.572218607E0
9.132456667E1	4.615419901E0
9.135793333E1	1.053758958E1
9.139130000E1	2.350014667E1
9.142466667E1	3.751850287E1
9.145803333E1	4.628686284E1
9.149140000E1	4.644974989E1
9.152476667E1	3.753916209E1
9.155813333E1	2.432931469E1
9.159150000E1	1.127722661E1
9.162486667E1	4.879809151E0
9.165823333E1	8.345481814E0
9.169160000E1	1.941193737E1
9.172496667E1	3.356577801E1
9.175833333E1	4.454251466E1
9.179170000E1	4.741700130E1
9.182506667E1	4.057567204E1
9.185843333E1	2.744221918E1
9.189180000E1	1.351500180E1
9.192516667E1	5.572562307E0
9.195853333E1	6.540587820E0
9.199190000E1	1.641735913E1
9.202526667E1	3.052282078E1
9.205863333E1	4.235174849E1
9.209200000E1	4.743952924E1
9.212536667E1	4.294856003E1
9.215873333E1	3.148585176E1
9.219210000E1	1.738358696E1
9.222546667E1	7.156975864E0
